number, name, team
235,LEDANOIS Kévin,Team Arkéa Samsic
236,RUSSO Clément,Team Arkéa Samsic
237,SWIFT Connor,Team Arkéa Samsic
DS: HINAULT Sébastien,,Team Arkéa Samsic
241,HALVORSEN Kristoffer,Uno-X Pro Cycling Team
242,JOHANNESSEN Tobias Halland,Uno-X Pro Cycling Team
243,LEVY William Blume,Uno-X Pro Cycling Team
244,RESELL Erik Nordsæter,Uno-X Pro Cycling Team
245,SKAARSETH Anders,Uno-X Pro Cycling Team
246,WÆRENSKJOLD Søren,Uno-X Pro Cycling Team
248,TILLER Rasmus,Uno-X Pro Cycling Team
DS: VANOUDENHOVE Gino,,Uno-X Pro Cycling Team
