number, name, team
217,MOLLY Kenny, Bingoal Pauwels Sauces WB
DS: DEMARBAIX Sébastien,, Bingoal Pauwels Sauces WB
221,COQUARD Bryan, B&B Hotels p/b KTM
222,MORICE Julien, B&B Hotels p/b KTM
223,DE BACKER Bert, B&B Hotels p/b KTM
224,DEBUSSCHERE Jens, B&B Hotels p/b KTM
225,LECROQ Jérémy, B&B Hotels p/b KTM
226,LEMOINE Cyril, B&B Hotels p/b KTM
227,VAN GENECHTEN Jonas, B&B Hotels p/b KTM
DS: ROUS Didier,, B&B Hotels p/b KTM
231,CAPIOT Amaury, Team Arkéa Samsic
232,DECLERCQ Benjamin, Team Arkéa Samsic
233,RUSSO Clément, Team Arkéa Samsic
234,SWIFT Connor, Team Arkéa Samsic
235,WELTEN Bram, Team Arkéa Samsic
236,MCLAY Daniel, Team Arkéa Samsic
237,NOPPE Christophe, Team Arkéa Samsic
DS: HINAULT Sébastien,, Team Arkéa Samsic
241,TERPSTRA Niki, Team Total Direct Energie
242,GAUDIN Damien, Team Total Direct Energie
243,PETIT Adrien, Team Total Direct Energie
244,SOUPE Geoffrey, Team Total Direct Energie
245,BOASSON HAGEN Edvald, Team Total Direct Energie
246,TURGIS Anthony, Team Total Direct Energie
247,VAN GESTEL Dries, Team Total Direct Energie
DS: ARNOULD Dominique,, Team Total Direct Energie
