number, name, team
205,ROTA Lorenzo,Intermarché - Wanty - Gobert Matériaux
206,VANSPEYBROUCK Pieter,Intermarché - Wanty - Gobert Matériaux
207,ZIMMERMANN Georg,Intermarché - Wanty - Gobert Matériaux
DS: DE NEEF Steven,VEUCHELEN Frederik,,Intermarché - Wanty - Gobert Matériaux
211,KING Ben,Rally Cycling
212,ZUKOWSKY Nickolas,Rally Cycling
213,BRITTON Rob,Rally Cycling
214,MANNION Gavin,Rally Cycling
215,MURPHY Kyle,Rally Cycling
216,ROSSKOPF Joey,Rally Cycling
217,DAL-CIN Matteo,Rally Cycling
DS: CARNEY Jonas,MCCARTY Jonathan Patrick,,Rally Cycling
221,PELLAUD Simon,Switzerland
222,KUHN Kevin,Switzerland
223,IMHOF Claudio,Switzerland
224,RUEGG Lukas,Switzerland
225,THIÈRY Cyrille,Switzerland
226,SUTER Joel,Switzerland
227,THALMANN Roland,Switzerland
DS: ALBASINI Michael,,Switzerland
